========================================
Critical Point Analysis (DIM=3)
========================================

p_c values from each run:
Run 1: 0.575758
Run 2: 0.626263
Run 3: 0.555556
Run 4: 0.606061
Run 5: 0.595960
Run 6: 0.545455
Run 7: 0.595960
Run 8: 0.595960
Run 9: 0.565657
Run 10: 0.595960
Run 11: 0.555556
Run 12: 0.565657
Run 13: 0.565657
Run 14: 0.585859
Run 15: 0.555556
Run 16: 0.555556
Run 17: 0.555556
Run 18: 0.565657
Run 19: 0.555556
Run 20: 0.585859
Run 21: 0.646465
Run 22: 0.585859
Run 23: 0.585859
Run 24: 0.535354
Run 25: 0.626263
Run 26: 0.565657
Run 27: 0.545455
Run 28: 0.565657
Run 29: 0.565657
Run 30: 0.575758
Run 31: 0.585859
Run 32: 0.595960
Run 33: 0.545455
Run 34: 0.646465
Run 35: 0.555556
Run 36: 0.555556
Run 37: 0.565657
Run 38: 0.585859
Run 39: 0.545455
Run 40: 0.565657
Run 41: 0.545455
Run 42: 0.555556
Run 43: 0.535354
Run 44: 0.585859
Run 45: 0.575758
Run 46: 0.575758
Run 47: 0.555556
Run 48: 0.585859
Run 49: 0.515152
Run 50: 0.575758

Average p_c: 0.573131
Standard deviation: 0.026480

========================================
Test Performance Metrics (DIM=3)
========================================

System: 3^2, p-range: 0.1-0.9
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
 48 | 0.9400 | 0.8658 | 0.0191
 49 | 0.9400 | 0.9860 | 0.1043
 50 | 0.9600 | 0.8974 | 0.0303

Summary Statistics:
Accuracy: 0.9558 ± 0.0223
Avg Perc: 0.9143 ± 0.0571
Avg Non-Perc: 0.0422 ± 0.0272
==================================================

System: 3^4, p-range: 0.1-0.9
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
----|----------|----------|------------
  1 | 0.9900 | 0.9785 | 0.0175
  2 | 0.9500 | 0.8465 | 0.0003
  3 | 0.9700 | 0.9946 | 0.0417
  4 | 0.9500 | 0.8772 | 0.0022
  5 | 0.9300 | 0.8420 | 0.0008
  6 | 0.9100 | 0.9951 | 0.1590
  7 | 0.9500 | 0.8979 | 0.0013
  8 | 0.9900 | 0.9565 | 0.0028
  9 | 1.0000 | 0.9742 | 0.0058
 10 | 0.9300 | 0.8396 | 0.0019
 11 | 0.9600 | 0.9960 | 0.0658
 12 | 0.9900 | 0.9836 | 0.0164
 13 | 0.9700 | 0.9902 | 0.0540
 14 | 0.9800 | 0.9534 | 0.0040
 15 | 0.9900 | 0.9961 | 0.0324
 16 | 0.9700 | 0.9927 | 0.0462
 17 | 0.9900 | 0.9905 | 0.0215
 18 | 0.9500 | 0.9770 | 0.0600
 19 | 0.9500 | 0.9713 | 0.0692
 20 | 0.9600 | 0.9275 | 0.0050
 21 | 0.8900 | 0.7077 | 0.0004
 22 | 0.9900 | 0.9739 | 0.0115
 23 | 0.9900 | 0.9618 | 0.0065
 24 | 0.9600 | 0.9958 | 0.0894
 25 | 0.9700 | 0.8752 | 0.0008
 26 | 0.9600 | 0.9822 | 0.0482
 27 | 0.9400 | 0.9665 | 0.0906
 28 | 0.9900 | 0.9733 | 0.0022
 29 | 0.9800 | 0.9589 | 0.0107
 30 | 0.9800 | 0.9649 | 0.0079
 31 | 0.9600 | 0.9496 | 0.0179
 32 | 0.9600 | 0.9077 | 0.0014
 33 | 0.9600 | 0.9980 | 0.0629
 34 | 0.8500 | 0.6508 | 0.0004
 35 | 0.9900 | 0.9965 | 0.0257
 36 | 0.9600 | 0.9864 | 0.0694
 37 | 0.9900 | 0.9940 | 0.0271
 38 | 0.9800 | 0.9289 | 0.0022
 39 | 0.9800 | 0.9979 | 0.0493
 40 | 0.9800 | 0.9815 | 0.0299
 41 | 0.9800 | 0.9938 | 0.0314
 42 | 0.9700 | 0.9915 | 0.0614
 43 | 0.9400 | 0.9953 | 0.0899
 44 | 0.9800 | 0.9651 | 0.0180
 45 | 0.9900 | 0.9689 | 0.0093
 46 | 0.9900 | 0.9757 | 0.0168
 47 | 0.9600 | 0.9961 | 0.0599
 48 | 0.9500 | 0.8842 | 0.0013
 49 | 0.8900 | 0.9956 | 0.1885
 50 | 0.9900 | 0.9566 | 0.0098

Summary Statistics:
Accuracy: 0.9636 ± 0.0296
Avg Perc: 0.9491 ± 0.0704
Avg Non-Perc: 0.0330 ± 0.0395
==================================================



========================================
Critical Point Analysis (DIM=4)
========================================

p_c values from each run:
Run 1: 0.606061
Run 2: 0.606061
Run 3: 0.575758
Run 4: 0.585859
Run 5: 0.595960
Run 6: 0.575758
Run 7: 0.565657
Run 8: 0.565657
Run 9: 0.616162
Run 10: 0.575758
Run 11: 0.575758
Run 12: 0.585859
Run 13: 0.565657
Run 14: 0.575758
Run 15: 0.575758
Run 16: 0.595960
Run 17: 0.525253
Run 18: 0.555556
Run 19: 0.565657
Run 20: 0.555556
Run 21: 0.585859
Run 22: 0.565657
Run 23: 0.595960
Run 24: 0.606061
Run 25: 0.595960
Run 26: 0.626263
Run 27: 0.606061
Run 28: 0.525253
Run 29: 0.585859
Run 30: 0.565657
Run 31: 0.525253
Run 32: 0.585859
Run 33: 0.585859
Run 34: 0.595960
Run 35: 0.595960
Run 36: 0.585859
Run 37: 0.595960
Run 38: 0.595960
Run 39: 0.606061
Run 40: 0.565657
Run 41: 0.565657
Run 42: 0.565657
Run 43: 0.555556
Run 44: 0.575758
Run 45: 0.555556
Run 46: 0.555556
Run 47: 0.606061
Run 48: 0.535354
Run 49: 0.585859
Run 50: 0.585859

Average p_c: 0.578586
Standard deviation: 0.022680

========================================
Test Performance Metrics (DIM=4)
========================================

System: 3^2, p-range: 0.1-0.9
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
----|----------|----------|------------
  1 | 0.9500 | 0.8128 | 0.0828
  2 | 0.9600 | 0.7974 | 0.0856
  3 | 0.9900 | 0.8921 | 0.0786
  4 | 0.9300 | 0.8690 | 0.1147
  5 | 0.9400 | 0.8403 | 0.1048
  6 | 0.9400 | 0.8836 | 0.1193
  7 | 0.9500 | 0.8554 | 0.1138
  8 | 0.9900 | 0.9110 | 0.0908
  9 | 0.9400 | 0.7952 | 0.0957
 10 | 0.9700 | 0.8496 | 0.0700
 11 | 0.9100 | 0.8569 | 0.1376
 12 | 0.9500 | 0.8230 | 0.0658
 13 | 0.9700 | 0.8873 | 0.0681
 14 | 0.9700 | 0.8932 | 0.0946
 15 | 0.9400 | 0.8189 | 0.0935
 16 | 0.9800 | 0.8469 | 0.0737
 17 | 0.9300 | 0.9322 | 0.1447
 18 | 0.9500 | 0.8627 | 0.0899
 19 | 0.9600 | 0.8429 | 0.0831
 20 | 0.9500 | 0.8701 | 0.0946
 21 | 0.9500 | 0.8341 | 0.0867
 22 | 0.9400 | 0.8409 | 0.1280
 23 | 0.9700 | 0.8798 | 0.0919
 24 | 0.9300 | 0.8664 | 0.1217
 25 | 0.9800 | 0.8565 | 0.1030
 26 | 0.9600 | 0.8124 | 0.0912
 27 | 0.9400 | 0.7950 | 0.0652
 28 | 0.9000 | 0.8859 | 0.1533
 29 | 0.9700 | 0.8533 | 0.0762
 30 | 0.9300 | 0.8505 | 0.1324
 31 | 0.9700 | 0.9220 | 0.1110
 32 | 0.9600 | 0.8508 | 0.0977
 33 | 0.9400 | 0.8332 | 0.1066
 34 | 0.9300 | 0.8340 | 0.0842
 35 | 0.9400 | 0.8386 | 0.0816
 36 | 0.9700 | 0.8689 | 0.0782
 37 | 0.9500 | 0.8167 | 0.0929
 38 | 0.9300 | 0.8363 | 0.0986
 39 | 0.9600 | 0.8418 | 0.0739
 40 | 0.9800 | 0.8740 | 0.1019
 41 | 0.9900 | 0.8798 | 0.0571
 42 | 0.9400 | 0.8418 | 0.1314
 43 | 0.9300 | 0.9039 | 0.1421
 44 | 0.9400 | 0.8733 | 0.1331
 45 | 0.9700 | 0.8636 | 0.0934
 46 | 0.9700 | 0.8642 | 0.0925
 47 | 0.9700 | 0.8516 | 0.0412
 48 | 0.9600 | 0.9212 | 0.1302
 49 | 0.9300 | 0.8295 | 0.0936
 50 | 0.9400 | 0.8467 | 0.0747

Summary Statistics:
Accuracy: 0.9522 ± 0.0201
Avg Perc: 0.8561 ± 0.0318
Avg Non-Perc: 0.0973 ± 0.0242
==================================================

System: 3^3, p-range: 0.1-0.9
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
----|----------|----------|------------
  1 | 0.9900 | 0.9320 | 0.0164
  2 | 0.9400 | 0.8492 | 0.0062
  3 | 1.0000 | 0.9534 | 0.0052
  4 | 0.9900 | 0.9133 | 0.0198
  5 | 0.9800 | 0.9307 | 0.0247
  6 | 0.9200 | 0.9476 | 0.1124
  7 | 0.9600 | 0.9698 | 0.0534
  8 | 0.9600 | 0.9615 | 0.0642
  9 | 1.0000 | 0.9812 | 0.0028
 10 | 0.9900 | 0.9746 | 0.0313
 11 | 0.9700 | 0.9421 | 0.0429
 12 | 1.0000 | 0.9519 | 0.0166
 13 | 0.9900 | 0.9789 | 0.0309
 14 | 0.9900 | 0.9352 | 0.0141
 15 | 0.9700 | 0.9250 | 0.0325
 16 | 1.0000 | 0.9458 | 0.0039
 17 | 0.8900 | 0.9899 | 0.1557
 18 | 0.9700 | 0.9835 | 0.0383
 19 | 0.9700 | 0.9756 | 0.0487
 20 | 0.9800 | 0.9729 | 0.0440
 21 | 0.9700 | 0.9471 | 0.0539
 22 | 0.9800 | 0.9676 | 0.0331
 23 | 0.9800 | 0.9363 | 0.0270
 24 | 0.9500 | 0.8849 | 0.0127
 25 | 1.0000 | 0.9486 | 0.0141
 26 | 0.9600 | 0.8736 | 0.0134
